name,rating,review_count,maps_url,distance_km
Le Bonnard,4.3,495,https://maps.google.com/?cid=11469645002746120364&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,7.09
Quick,4.7,2063,https://maps.google.com/?cid=11032503891975337897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.74
L'authentique,4.6,142,https://maps.google.com/?cid=17103958620596831354&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,7.15
La Pajovic,4.3,162,https://maps.google.com/?cid=12529319066754121296&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.45
Le Terminus Marmara,5.0,17,https://maps.google.com/?cid=6683618917650826989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.12
Restaurant La Batterie,4.2,661,https://maps.google.com/?cid=17333182079722381332&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.19
Le Montigny,4.5,52,https://maps.google.com/?cid=5591376391835695799&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,7.63
La Delizia,4.7,296,https://maps.google.com/?cid=15153920757393630224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.45
L'Espérance,4.1,231,https://maps.google.com/?cid=2548360048453707161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.34
Los tacos,4.0,403,https://maps.google.com/?cid=9117286300760348617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.47
ISTANBUL KEBAB DE LA POSTE,4.7,412,https://maps.google.com/?cid=7636165711455248620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.46
Five Pizza Original - Versailles,4.1,586,https://maps.google.com/?cid=8010855612759984635&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.33
O’mens,4.9,126,https://maps.google.com/?cid=11513765506203656494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.86
Côté Fresh,4.9,250,https://maps.google.com/?cid=16984173352677486822&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.42
Royaume D'Anatolie,4.2,1360,https://maps.google.com/?cid=4874131710370013706&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.49
CHARLIE FOODS (Halal),4.9,220,https://maps.google.com/?cid=206808750158814490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.48
Hall Of Beer,4.7,503,https://maps.google.com/?cid=2032619231484977933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.49
Versaray restaurant,4.9,6329,https://maps.google.com/?cid=14866469813843679804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.32
La Guichetta,4.3,393,https://maps.google.com/?cid=1625096573669392227&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.48
Blé Noir,4.7,4431,https://maps.google.com/?cid=12045141496416269420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.58
Lartecono Davinci Gelato - Versailles,4.2,117,https://maps.google.com/?cid=9703743079690682036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.59
Le Jasmin,4.0,295,https://maps.google.com/?cid=5573034147455396291&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.6
The Coup d'Etat,4.0,915,https://maps.google.com/?cid=5701400192330940625&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.62
Le Saint Claire,4.1,1276,https://maps.google.com/?cid=12902110477555421954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.63
Le Luso,4.2,716,https://maps.google.com/?cid=10376872879084576284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.26
Alone Fast Food - Montigny-le-Bretonneux,4.7,150,https://maps.google.com/?cid=14059097987245921371&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.5
Franprix,4.8,218,https://maps.google.com/?cid=11922143391839940711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.38
Ya Ka Manger,4.1,320,https://maps.google.com/?cid=1851944806043527420&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.41
Tasty Crousty - Montigny le Bretonneux,4.9,1459,https://maps.google.com/?cid=8025155405802605204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.42
L'Escale,4.3,128,https://maps.google.com/?cid=9914665163928915908&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.55
King Food,4.4,239,https://maps.google.com/?cid=7775785246275057919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.63
LE MARINA,4.0,410,https://maps.google.com/?cid=4945100873443191870&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.57
Five Pizza Original - Montigny le Bretonneux,4.5,1865,https://maps.google.com/?cid=13260956476717072343&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.64
Lully Restaurant,4.6,212,https://maps.google.com/?cid=3222597177446104471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.71
POKAWA Poké bowls,4.5,658,https://maps.google.com/?cid=474599030893372737&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.65
Crousty Game,5.0,1,https://maps.google.com/?cid=14757098665336638984&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.53
XL Burger,4.2,296,https://maps.google.com/?cid=2735911668574677817&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.64
Chicken Street Montigny le Bretonneux Naan & Fried Chicken,4.4,947,https://maps.google.com/?cid=10735531837775909665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.64
Burger King,4.2,5787,https://maps.google.com/?cid=5747198353179423137&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.69
L'ANTALYA,4.6,245,https://maps.google.com/?cid=3667346817992627898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.71
Crousty Game - Montigny,4.6,33,https://maps.google.com/?cid=4174883581374128230&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.71
100% crousti,4.2,71,https://maps.google.com/?cid=1199129234597803488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.71
Le choiseul,4.4,350,https://maps.google.com/?cid=6822630539693770675&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.84
Point Pizza,4.7,95,https://maps.google.com/?cid=5236495984438503058&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.66
Mac Burger 78,4.5,433,https://maps.google.com/?cid=18061149934022130876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.74
Subway,4.4,828,https://maps.google.com/?cid=13236966684533314112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.82
O'Mazette,4.3,312,https://maps.google.com/?cid=11279346030942389080&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.81
Le Restaurant l THE BABEL COMMUNITY – SQY Montigny-le-Bretonneux,4.7,101,https://maps.google.com/?cid=2693012657875835537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9.0
Le Julie's,4.7,218,https://maps.google.com/?cid=3418762498700259879&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,6.71
L'olivetto,4.3,110,https://maps.google.com/?cid=1394386280783563382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.81
Le SO - Restaurant Italien Montigny-le-bretonneux - Bar - Pizzeria - Saint-Quentin en Yvelines,4.2,1729,https://maps.google.com/?cid=12172650757527082947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.82
LA FRÉGATE,4.9,65,https://maps.google.com/?cid=299839665504707685&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,8.9
